genre,rating,watched
"Crime, Drama, Thriller",7.4,0
"Action, Adventure, Comedy",6.7,0
"Action, Drama",7.5,0
"Animation, Adventure, Drama",6.3,0
"Adventure, Drama, Thriller",5.2,0
Comedy,4.7,0
"Drama, Thriller",7.9,0
Documentary,5.6,0
"Drama, Romance",7.9,0
"Adventure, Comedy, Drama",7.8,0
"Crime, Drama, Thriller",7.6,0
"Drama, Mystery, Thriller",6.5,0
Horror,4.4,0
"Drama, Fantasy, Romance",7.1,0
"Action, Crime, Horror",5.7,0
"Adventure, Biography, Drama",8.3,0
"Action, Adventure, Sci-Fi",6.5,0
"Animation, Action, Adventure",8.9,0
"Action, Comedy, Crime",6.3,0
"Action, Adventure, Fantasy",5.4,0
"Action, Adventure, Drama",7.2,0
"Comedy, Drama",7.8,0
"Comedy, Drama",8.3,0
"Drama, Horror",8.0,0
"Comedy, Family, Sci-Fi",7.8,0
"Comedy, Sci-Fi",6.4,0
"Action, Adventure, Fantasy",6.6,0
"Comedy, Romance",7.1,0
"Crime, Horror, Thriller",7.1,0
"Crime, Mystery, Thriller",7.2,0
"Crime, Drama, Mystery",6.8,0
"Adventure, Comedy, Fantasy",8.2,0
"Action, Adventure, Sci-Fi",6.4,0
"Drama, Horror, Music",6.9,0
"Action, Crime, Drama",7.5,0
"Animation, Comedy, Music",,0
"Action, Thriller",6.6,0
"Crime, Drama, Thriller",7.6,0
"Biography, Drama, Musical",7.5,0
"Crime, Horror, Mystery",,0
"Action, Drama, Mystery",7.6,0
"Comedy, Drama",7.6,0
"Action, Thriller",5.1,0
"Comedy, Horror",6.3,0
"Action, Biography, Drama",6.9,0
"Animation, Adventure, Comedy",7.3,0
"Comedy, Drama, Fantasy",7.3,0
"Action, Thriller",6.7,0
"Biography, Crime, Drama",6.6,0
"Action, Comedy, Crime",6.4,0
Reality-TV,5.5,0
"Drama, Romance",6.8,0
"Action, Drama, History",6.5,0
"Action, Biography, Drama",7.5,0
"Drama, Sci-Fi, Thriller",7.1,0
"Animation, Comedy, Fantasy",7.6,0
Documentary,7.4,0
"Action, Biography, Drama",8.2,0
"Horror, Mystery, Sci-Fi",6.6,0
Comedy,7.9,0
"Comedy, Drama, Romance",5.4,0
"Comedy, Romance",6.9,0
"Comedy, Drama, Romance",7.8,0
"Comedy, Romance",4.4,0
Comedy,7.4,0
"Comedy, Drama, Romance",7.6,0
"Action, Crime, Drama",6.1,0
"Action, Drama, Family",6.2,0
"Crime, Drama, Thriller",7.3,0
"Crime, Drama, Mystery",8.2,0
"Biography, Drama, Sport",7.6,0
"Documentary, History, Music",7.4,0
"Crime, Drama, Mystery",6.9,0
"Action, Crime, Thriller",7.1,0
"Action, Adventure, Comedy",,0
"Adventure, Comedy, Reality-TV",8.7,0
"Action, Crime, Drama",5.9,0
"Animation, Adventure, Drama",7.8,0
"Drama, Thriller",6.9,0
"Documentary, Biography, Sport",7.2,0
"Crime, Drama, Mystery",7.3,0
"Action, Adventure, Family",6.5,0
Comedy,8.0,0
"Game-Show, Reality-TV, Romance",6.1,0
Comedy,6.1,0
"Action, Horror, Sci-Fi",5.2,0
"Action, Adventure, Comedy",5.7,0
"Comedy, Musical",7.8,0
"Drama, Romance",7.3,0
"Action, Adventure, Crime",,0
"Drama, History, Romance",7.9,0
Comedy,6.7,0
"Adventure, Drama, Fantasy",7.1,0
"Action, Sci-Fi, Thriller",6.4,0
"Comedy, Fantasy, Romance",7.7,0
"Drama, Thriller",6.8,0
Comedy,6.6,0
"Animation, Adventure, Comedy",6.7,0
"Crime, Drama, Mystery",7.7,0
"Animation, Action, Adventure",7.5,0
"Crime, Drama, Thriller",8.6,0
"Comedy, Romance",6.9,0
Comedy,7.9,0
"Action, Comedy, Family",5.9,0
"Drama, Horror",,0
"Action, Adventure, Drama",5.3,0
"Drama, Thriller",5.1,0
"Action, Drama, Horror",8.3,0
"Crime, Drama, Thriller",5.7,0
"Drama, Western",8.3,0
"Action, Comedy, Family",5.6,0
"Action, Adventure, Comedy",6.9,0
"Animation, Action, Adventure",7.2,0
"Animation, Action, Adventure",8.4,0
"Animation, Action, Adventure",8.4,0
"Crime, Horror, Mystery",7.1,0
"Action, Thriller",6.7,0
"Drama, Horror, Mystery",6.7,0
"Crime, Drama",8.5,0
"Action, Adventure, Thriller",6.6,0
"Documentary, Crime, History",6.7,0
"Horror, Mystery, Thriller",6.3,0
"Biography, Crime, Drama",8.9,0
"Action, Adventure, Crime",7.1,0
Reality-TV,5.2,0
"Animation, Adventure, Comedy",7.4,0
"Action, Comedy, Crime",6.9,0
"Action, Adventure, Fantasy",5.2,0
"Drama, Mystery, Sci-Fi",5.9,0
"Animation, Short, Adventure",8.3,0
"Action, Adventure, Comedy",,0
"Action, Sci-Fi, Thriller",5.3,0
"Comedy, Music",6.7,0
"Action, Adventure, Drama",6.9,0
"Comedy, Drama, Thriller",6.6,0
"Animation, Action, Adventure",8.2,0
"Comedy, Drama, Musical",6.7,0
"Action, Adventure, Horror",6.4,0
"Biography, Crime, Drama",6.7,0
"Action, Adventure, Drama",7.8,0
"Action, Adventure, Drama",7.9,0
"Action, Adventure, Biography",8.5,0
"Drama, Romance",6.3,0
"Comedy, Horror",7.8,0
"Biography, Drama, Music",,0
"Short, Comedy, Family",6.7,0
"Drama, Horror, Mystery",5.3,0
"Drama, Horror, Mystery",,0
"Action, Adventure, Drama",7.6,0
"Documentary, Crime, Mystery",7.2,0
"Horror, Thriller",6.6,0
"Animation, Action, Drama",8.5,0
"Action, Adventure, Sci-Fi",6.2,0
"Animation, Short, Action",7.4,0
"Comedy, Romance",6.1,0
"Action, Crime, Thriller",8.0,0
"Action, Adventure, Sci-Fi",6.1,0
"Drama, Mystery, Sci-Fi",7.5,0
"Crime, Drama, Mystery",5.7,0
"Action, Thriller",6.2,0
"Action, Adventure, Biography",6.9,0
"Comedy, Drama",6.3,0
Comedy,6.1,0
"Drama, Horror, Mystery",5.3,0
"Action, Drama, Thriller",6.3,0
"Biography, Comedy, Drama",6.9,0
"Biography, Drama, History",7.2,0
"Action, Crime, Drama",7.3,0
"Drama, Romance",7.4,0
"Action, Comedy, Crime",8.4,0
"Drama, History, Mystery",7.1,0
"Comedy, Crime, Drama",6.3,0
"Crime, Drama",8.3,0
Comedy,7.6,0
"Biography, Drama, History",6.8,0
Comedy,8.2,0
"Crime, Drama, Mystery",7.7,0
"Action, Crime, Thriller",5.7,0
"Animation, Adventure, Comedy",7.3,0
"Animation, Crime, Drama",8.0,0
"Animation, Action, Comedy",8.5,0
"Drama, Mystery, Thriller",6.8,0
"Drama, Romance",6.3,0
"Animation, Action, Comedy",8.6,0
"Crime, Drama, Mystery",8.0,0
"Drama, Horror, Sci-Fi",7.2,0
"Action, Crime, Drama",5.6,0
"Action, Adventure, Sci-Fi",5.9,0
"Comedy, Romance",5.6,0
"Crime, Drama, Thriller",5.1,0
"Comedy, Family",6.7,0
"Comedy, Romance",5.9,0
"Drama, Horror, Mystery",5.3,0
"Crime, Drama",5.4,0
"Action, Adventure, Fantasy",5.1,0
"Action, Adventure, Fantasy",,0
"Crime, Drama, Mystery",5.6,0
"Crime, Drama, Horror",6.2,0
Drama,6.0,0
"Action, Comedy, Fantasy",8.4,0
"Action, Crime, Thriller",6.6,0
"Action, Drama, Fantasy",6.9,0
"Drama, Sport",8.5,0
"Biography, Drama, History",7.9,0
"Animation, Action, Drama",8.7,0
"Animation, Comedy, Family",8.1,0
"Crime, Drama, Horror",7.0,0
"Documentary, Biography, History",9.1,0
"Comedy, Romance",6.8,0
"Comedy, Sport",8.3,0
"Action, Drama, Horror",6.5,0
"Biography, Drama",7.6,0
"Biography, Drama",7.2,0
"Action, Adventure, Drama",5.6,0
"Adventure, Drama, Mystery",7.7,0
"Action, Thriller",,0
"Action, Comedy, Crime",6.0,0
"Animation, Action, Adventure",7.8,0
"Action, Thriller",,0
"Action, Adventure, Crime",7.2,0
"Biography, Crime, Drama",8.1,0
"Adventure, Comedy, Drama",7.8,0
"Action, Crime, Fantasy",6.8,0
"Action, Adventure, Crime",6.2,0
"Crime, Drama, Mystery",6.7,0
"Comedy, Drama, Romance",7.7,0
Reality-TV,7.4,0
"Animation, Adventure, Comedy",7.6,0
"Action, Drama",6.2,0
"Adventure, Drama, History",6.5,0
"Comedy, Drama, Sci-Fi",7.7,0
"Action, Comedy, Crime",7.4,0
"Action, Adventure, Thriller",6.7,0
"Biography, Drama, Romance",7.1,0
"Action, Adventure, Crime",6.2,0
"Action, Adventure, Horror",5.7,0
Horror,3.9,0
"Drama, Fantasy, Horror",6.7,0
"Drama, Thriller",5.2,0
"Crime, Drama, Mystery",6.4,0
Thriller,6.4,0
"Animation, Adventure, Comedy",6.5,0
"Animation, Action, Adventure",7.5,0
"Crime, Drama, Mystery",4.1,0
"Comedy, Drama, Romance",7.7,0
"Adventure, Biography, Drama",7.9,0
Animation,8.7,0
"Drama, Mystery, Sci-Fi",6.5,0
"Drama, Mystery, Romance",6.0,0
"Fantasy, Horror, Mystery",4.9,0
"Action, Adventure, Drama",,0
"Drama, Mystery, Sci-Fi",8.4,0
"Action, Horror, Mystery",5.2,0
"Action, Adventure, Drama",8.0,0
"Action, Crime, Drama",,0
Drama,7.1,0
"Action, Adventure, Crime",6.2,0
"Comedy, Drama, Thriller",6.5,0
"Animation, Action, Adventure",6.7,0
"Action, Thriller",,0
"Drama, Horror, Mystery",6.4,0
Drama,5.9,0
"Comedy, Drama, Romance",5.9,0
"Biography, Drama",7.8,0
"Action, Adventure, Fantasy",5.3,0
"Comedy, Drama",8.2,0
"Documentary, Crime",7.4,0
"Drama, History, Thriller",7.7,0
"Crime, Drama, Horror",6.7,0
"Action, Drama, Fantasy",7.5,0
"Action, Thriller",6.4,0
"Crime, Drama",7.6,0
"Adventure, Sci-Fi",8.0,0
"Drama, Mystery, Sci-Fi",7.1,0
"Action, Adventure, Drama",5.8,0
